DOW;AUT;ACH;SOI;IDN5;NM5;IDN4;NM4;IDN3;NM3;IDN2;NM2;VYMERA;NUTS1;NUTS1_CODE;NUTS2;NUTS2_CODE;NUTS3;NUTS3_CODE;LAU1;LAU1_CODE;LAU2;LAU2_CODE
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;811351;Dobroslava;527246;Dobroslava;712;Svidník;7;Prešovský;5576855;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Svidník;SK041C;Dobroslava;SK041C527246
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;811378;Dobšiná;525634;Dobšiná;808;Rožňava;8;Košický;82727465;Slovensko;SK0;Východné Slovensko;SK04;Košický kraj;SK042;Rožňava;SK0428;Dobšiná;SK0428525634
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;811432;Dohňany;512940;Dohňany;308;Púchov;3;Trenčiansky;12038215;Slovensko;SK0;Západné Slovensko;SK02;Trenčiansky kraj;SK022;Púchov;SK0228;Dohňany;SK0228512940
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;811475;Dojč;504335;Dojč;205;Senica;2;Trnavský;20345935;Slovensko;SK0;Západné Slovensko;SK02;Trnavský kraj;SK021;Senica;SK0215;Dojč;SK0215504335
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;811483;Doľany;507873;Doľany;107;Pezinok;1;Bratislavský;22545776;Slovensko;SK0;Bratislavský kraj;SK01;Bratislavský kraj;SK010;Pezinok;SK0107;Doľany;SK0107507873
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;811491;Doľany;526461;Doľany;704;Levoča;7;Prešovský;3673316;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Levoča;SK0414;Doľany;SK0414526461
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;811513;Dolinka;515957;Dolinka;610;Veľký Krtíš;6;Banskobystrický;7298002;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Veľký Krtíš;SK032A;Dolinka;SK032A515957
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;811521;Dolná Breznica;512958;Dolná Breznica;308;Púchov;3;Trenčiansky;8360744;Slovensko;SK0;Západné Slovensko;SK02;Trenčiansky kraj;SK022;Púchov;SK0228;Dolná Breznica;SK0228512958
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;811548;Dolná Krupá;506923;Dolná Krupá;207;Trnava;2;Trnavský;24632114;Slovensko;SK0;Západné Slovensko;SK02;Trnavský kraj;SK021;Trnava;SK0217;Dolná Krupá;SK0217506923
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;811572;Dolná Lehota;508535;Dolná Lehota;603;Brezno;6;Banskobystrický;55443041;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Brezno;SK0323;Dolná Lehota;SK0323508535
